stop_id,lat,long,count
10330,41.705624,-72.775981,63
10331,41.703765,-72.775668,63
10332,41.702773,-72.775354,63
10334,41.860908,-72.482740,65
10335,41.704873,-72.878795,244
10336,41.730929,-72.790093,65
10338,41.418413,-72.844833,4
10339,41.419297,-72.850319,4
1034,41.750583,-72.600565,9
10343,41.733718,-72.793495,65
10345,41.735488,-72.795613,65
10346,41.733112,-72.797612,65
10347,41.730869,-72.799756,65
10348,41.853653,-72.645536,37
10349,41.667734,-72.778477,74
1035,41.750041,-72.602214,9
10353,41.709698,-72.804352,8
10354,41.709475,-72.804570,4
10355,41.710619,-72.804400,4
10356,41.710521,-72.804631,4
10357,41.708045,-72.803663,8
10358,41.708063,-72.803905,4
1036,41.749570,-72.603778,9
10360,41.668717,-72.719765,88
10361,41.650388,-72.730219,44
10362,41.662176,-72.720465,44
10363,41.670183,-72.781149,71
10364,41.670361,-72.779116,73
10366,41.671225,-72.771361,73
10367,41.671456,-72.768784,73
10368,41.671839,-72.764767,73
1037,41.749170,-72.605087,9
10370,41.673285,-72.762479,73
10371,41.675019,-72.762114,73
10372,41.676189,-72.761919,73
10373,41.677494,-72.761833,73
10374,41.680443,-72.761734,71
10375,41.680585,-72.760306,71
10376,41.680683,-72.759108,71
10377,41.680789,-72.758031,71
10378,41.680994,-72.755901,142
1038,41.745488,-72.604917,2
10381,41.678215,-72.755892,71
10382,41.677160,-72.755881,71
10383,41.675909,-72.755652,71
10384,41.674479,-72.755400,71
10385,41.672396,-72.755015,71
10386,41.671968,-72.756382,71
10387,41.671773,-72.758294,71
10388,41.671310,-72.761174,71
10389,41.669799,-72.760909,71
1039,41.746705,-72.605834,70
10390,41.668342,-72.760656,71
10391,41.667225,-72.760476,71
10392,41.666967,-72.762097,71
1040,41.746414,-72.607966,70
10400,41.667549,-72.765315,71
10401,41.669060,-72.765217,71
10402,41.670480,-72.764381,71
10403,41.672035,-72.764476,72
10404,41.671653,-72.768614,72
10405,41.671386,-72.771385,72
10406,41.670621,-72.779189,72
10409,41.666088,-72.774789,74
10410,41.666382,-72.771728,74
10411,41.903119,-72.653006,60
10412,41.665810,-72.771244,74
10413,41.663968,-72.770363,74
10414,41.661912,-72.769009,74
10415,41.660330,-72.768720,74
10416,41.658954,-72.768443,74
10417,41.656335,-72.767659,74
10418,41.652914,-72.769186,74
10419,41.652520,-72.767929,74
1042,41.745963,-72.611189,70
10420,41.652733,-72.765812,74
10421,41.653009,-72.763308,74
10427,41.653314,-72.749821,138
10428,41.654281,-72.752880,6
10429,41.659769,-72.753951,6
10430,41.665042,-72.755180,6
10431,41.667545,-72.756096,6
10432,41.869526,-72.725449,28
10433,41.869561,-72.725182,26
10435,41.664622,-72.755422,6
10436,41.654014,-72.754901,74
1044,41.745160,-72.617041,70
10440,41.659295,-72.754012,6
10441,41.653775,-72.758469,74
10442,41.655813,-72.758806,74
10443,41.657645,-72.759457,71
10444,41.658879,-72.761258,74
10445,41.659800,-72.761777,74
10446,41.661998,-72.762259,74
1045,41.744842,-72.619331,70
10455,41.662627,-72.769396,74
10456,41.664022,-72.770121,74
10457,41.665872,-72.771002,74
10458,41.666516,-72.772187,74
10459,41.666240,-72.774909,74
1046,41.744488,-72.622021,70
10460,41.668494,-72.781186,185
10461,41.852794,-72.430331,23
10464,41.827898,-72.485340,23
1047,41.744100,-72.624796,70
1048,41.743923,-72.626019,70
10482,41.763119,-72.677716,8
10483,41.328022,-72.877968,1
10488,41.277269,-72.861823,18
10489,41.284785,-72.809390,18
1049,41.743534,-72.628770,70
10490,41.289473,-72.800040,18
10491,41.291330,-72.795033,18
10492,41.292373,-72.788173,18
10493,41.295141,-72.781987,18
10494,41.297060,-72.778098,18
10495,41.298263,-72.772754,18
10496,41.299207,-72.765159,18
10497,41.311032,-72.745361,18
10498,41.311036,-72.738079,18
10499,41.308507,-72.724361,18
105,41.738921,-72.739166,52
1050,41.743260,-72.630793,70
10500,41.305066,-72.712426,18
10501,41.295364,-72.702105,18
10502,41.288405,-72.692997,18
10505,41.288009,-72.803999,18
10506,41.305320,-72.754527,18
10507,41.287928,-72.681951,18
10508,41.288559,-72.664334,18
10509,41.285517,-72.647797,18
1051,41.743335,-72.632924,96
10510,41.284959,-72.638389,18
10511,41.281088,-72.630711,18
10512,41.278143,-72.626340,18
10513,41.278210,-72.618195,18
